station_code,location,state,temperature_c,do_mg_l,ph,conductivity_umhos_cm,bod_mg_l,nitrate_nitrite_mg_l,fecal_coliform_mpn_100ml,total_coliform_mpn_100ml,year
18,"PERIYAR AT KALADY, KERALA",KERALA,27.0,7.5,6.8,32.0,0.8,0.3,200.0,738.0,2007
1338,"PERIYAR AT SEWAGE DISCHARGE POINT, KERALA",KERALA,28.0,6.7,6.8,42.0,1.0,0.4,230.0,804.0,2007
20,"CHALIYAR AT KOOLIMADU, KERALA",KERALA,28.0,6.9,6.7,73.0,0.5,0.2,688.0,1242.0,2007
21,"CHALIYAR AT CHUNGAPALLY, KERALA",KERALA,28.0,6.8,6.9,7920.0,0.5,0.2,391.0,813.0,2007
42,"KALLADA AT PERUMTHOTTAMKADAVU, PUNALOOR, KERALA",KERALA,29.0,7.4,7.2,49.0,1.1,0.3,327.0,641.0,2007
43,"MUVATTAPUZHA AT VETTIKKATTUMUKKU, KERALA",KERALA,28.0,7.2,6.8,58.0,1.5,0.3,173.0,556.0,2007
1154,"CHALAKUDY AT PULICKALKANANDAVU, KERALA",KERALA,29.0,6.8,6.6,115.0,2.0,0.5,148.0,635.0,2007
1155,"KARAMANA AT MOONNATTUMUKKU, KERALA",KERALA,28.0,0.8,6.8,2156.0,7.4,1.0,14825.0,20733.0,2007
1156,"PAMBA AT CHENGANNUR, KERALA",KERALA,26.0,7.1,6.1,34.0,0.6,0.5,1300.0,1975.0,2007
1341,"PAMBA AT THAKAZHY, KERALA",KERALA,26.0,5.9,6.2,52.0,0.5,0.6,1100.0,1775.0,2007
1565,"PAMBA DOWN, KERALA",KERALA,26.0,5.1,6.2,55.0,1.1,0.4,1275.0,2000.0,2007
1339,"MEENACHIL AT KIDANGOOR, KERALA",KERALA,26.0,6.7,6.2,43.0,0.7,0.4,1325.0,2100.0,2007
1340,"MANIMALA AT KALLOOPARA, KERALA",KERALA,26.0,5.8,6.2,34.0,0.6,0.3,975.0,1625.0,2007
1384,"MANIMALA AT THONDRA, KERALA",KERALA,26.0,6.4,6.2,39.0,0.7,0.4,1375.0,1900.0,2007
1342,"ACHENKOIL AT THUMPAMON, KERALA",KERALA,26.0,6.6,6.3,41.0,0.6,0.3,1033.0,1442.0,2007
1443,"ACHENKOIL AT CHENNITHULA, KERALA",KERALA,26.0,5.4,6.2,47.0,0.7,0.5,1250.0,1825.0,2007
1442,"VAMANAPURAM, KERALA",KERALA,28.0,6.7,6.7,80.0,1.3,0.5,1655.0,3050.0,2007
1563,"AMARAVILA, KERALA",KERALA,27.0,6.4,7.0,112.0,1.4,0.7,3850.0,5725.0,2007
